coordinates,BSSE_A,BSSE_B
(1, 1, 1),0.000499555981548383,0.000499555981448907
(1, 1, 2),0.00016929487006223098,0.0001692948699911767
(1, 1, 3),0.00014307909711419597,0.00014307909678734632
(1, 1, 4),9.201438095374215e-05,9.201438071215762e-05
(1, 2, 1),0.00010429560818181471,0.00010429560821023642
(1, 2, 2),8.599019469102132e-05,8.599019481891901e-05
(1, 2, 3),7.235488379819799e-05,7.235488374135457e-05
(1, 2, 4),4.8146968282480884e-05,4.814696805510721e-05
(1, 3, 1),3.055429550613553e-05,3.055429499454476e-05
(1, 3, 2),3.0401600071172652e-05,3.040160018485949e-05
(1, 3, 3),3.0418817203781146e-05,3.0418817345889693e-05
(1, 3, 4),1.9210145296710834e-05,1.9210145154602287e-05
(1, 4, 1),1.2533499017308714e-05,1.2533498818356748e-05
(1, 4, 2),1.2613606600098137e-05,1.26136064864113e-05
(1, 4, 3),1.0803593767150232e-05,1.080359361083083e-05
(1, 4, 4),5.727250666609507e-06,5.727250808718054e-06
(2, 1, 1),0.00010429560816760386,0.0001042956079970736
(2, 1, 2),8.599019449206935e-05,8.599019440680422e-05
(2, 1, 3),7.235488381240884e-05,7.235488358503517e-05
(2, 1, 4),4.814696826827003e-05,4.81469683393243e-05
(2, 2, 1),5.986300462268446e-05,5.986300480742557e-05
(2, 2, 2),4.0564666903719626e-05,4.05646671310933e-05
(2, 2, 3),4.196749584650661e-05,4.1967495718608916e-05
(2, 2, 4),2.7424489616123537e-05,2.7424489758232085e-05
(2, 3, 1),2.0647009776553205e-05,2.0647009293384144e-05
(2, 3, 2),1.9926977785189592e-05,1.9926977728346174e-05
(2, 3, 3),1.9509297175090978e-05,1.9509296805608756e-05
(2, 3, 4),1.139291489948846e-05,1.1392915070018717e-05
(2, 4, 1),9.247200992490434e-06,9.247200864592742e-06
(2, 4, 2),9.207887018192196e-06,9.207886947137922e-06
(2, 4, 3),6.784414267713146e-06,6.78441406876118e-06
(2, 4, 4),3.434634862742314e-06,3.434634862742314e-06
(3, 1, 1),3.055429544929211e-05,3.055429547771382e-05
(3, 1, 2),3.0401600227492054e-05,3.0401599985907524e-05
(3, 1, 3),3.0418817360100547e-05,3.0418817090094308e-05
(3, 1, 4),1.9210145168813142e-05,1.9210145168813142e-05
(3, 2, 1),2.064700967707722e-05,2.0647009208119016e-05
(3, 2, 2),1.9926977813611302e-05,1.9926977643081045e-05
(3, 2, 3),1.9509296976139012e-05,1.950929684824132e-05
(3, 2, 4),1.1392914998964443e-05,1.139291514107299e-05
(3, 3, 1),1.117817825502243e-05,1.1178178056070465e-05
(3, 3, 2),1.139756389534341e-05,1.1397564009030248e-05
(3, 3, 3),9.270597573163286e-06,9.27059761579585e-06
(3, 3, 4),4.8274550010773964e-06,4.8274550010773964e-06
(3, 4, 1),5.831430797798021e-06,5.831430968328277e-06
(3, 4, 2),4.8097198970253885e-06,4.809719484910602e-06
(3, 4, 3),3.0552776024705963e-06,3.0552775456271775e-06
(3, 4, 4),1.4840710349517394e-06,1.4840703670415678e-06
(4, 1, 1),1.2533499059941278e-05,1.2533499130995551e-05
(4, 1, 2),1.2613606685363266e-05,1.2613606301670188e-05
(4, 1, 3),1.0803593937680489e-05,1.0803593568198266e-05
(4, 1, 4),5.727250595555233e-06,5.7272506381877974e-06
(4, 2, 1),9.247200935647015e-06,9.247200694062485e-06
(4, 2, 2),9.207887146089888e-06,9.207887117668179e-06
(4, 2, 3),6.7844139834960515e-06,6.78441406876118e-06
(4, 2, 4),3.4346347490554763e-06,3.4346348911640234e-06
(4, 3, 1),5.831430911484858e-06,5.8314308546414395e-06
(4, 3, 2),4.809719627019149e-06,4.80971957017573e-06
(4, 3, 3),3.0552778866876906e-06,3.055277716157434e-06
(4, 3, 4),1.4840708217889187e-06,1.484070551782679e-06
(4, 4, 1),2.231233608540606e-06,2.2312336369623154e-06
(4, 4, 2),1.6454978322144598e-06,1.6454977895818956e-06
(4, 4, 3),1.0267916650263942e-06,1.0267920913520356e-06
(4, 4, 4),4.775035904458491e-07,4.775037325543963e-07
